,Player,Team,Wk,Run Att,Run Yd,Run TD,Target,Rec,Rec Yd,Rec TD,Opp,Points,Game played,Season
0,Adrian Peterson,MIN,1,21,75,0,3,2,18,0,STL,9.3,1,2014
1,Ahmad Bradshaw,IND,1,3,15,0,6,5,70,0,DEN,8.5,1,2014
2,Alfonso Smith,SF,1,0,0,0,0,0,0,0,DAL,0.0,0,2014
3,Alfred Blue,HOU,1,1,0,0,0,0,0,0,WAS,0.0,1,2014
4,Alfred Morris,WAS,1,14,91,0,0,0,0,0,HOU,9.1,1,2014
5,Andre Ellington,ARI,1,13,53,0,5,5,27,0,SD,8.0,1,2014
6,Andre Williams,NYG,1,5,9,0,1,0,0,0,DET,0.9,1,2014
7,Anthony Dixon,BUF,1,5,60,0,0,0,0,0,CHI,6.0,1,2014
8,Anthony Sherman,KC,1,1,4,0,0,0,0,0,TEN,0.4,1,2014
9,Antone Smith,ATL,1,2,7,0,1,1,54,1,NO,12.1,1,2014
10,Antonio Andrews,TEN,1,0,0,0,0,0,0,0,KC,0.0,0,2014
11,Arian Foster,HOU,1,27,103,0,2,2,17,0,WAS,12.0,1,2014
12,Austin Johnson,NO,1,0,0,0,0,0,0,0,ATL,0.0,0,2014
13,Ben Tate,CLE,1,6,41,0,0,0,0,0,PIT,4.1,1,2014
14,Benny Cunningham,STL,1,5,21,0,4,4,30,0,MIN,5.1,1,2014
15,Bernard Pierce,BAL,1,6,14,0,0,0,0,0,CIN,1.4,1,2014
16,Bilal Powell,NYJ,1,1,4,0,0,0,0,0,OAK,0.4,1,2014
17,Bishop Sankey,TEN,1,6,25,0,0,0,0,0,KC,2.5,1,2014
18,Bobby Rainey,TB,1,4,12,0,2,2,8,1,CAR,8.0,1,2014
19,Branden Oliver,SD,1,0,0,0,0,0,0,0,ARI,0.0,0,2014
20,Brandon Bolden,NE,1,2,8,0,3,1,4,0,MIA,1.2,1,2014
21,Brian Leonard,NO,1,0,0,0,0,0,0,0,ATL,0.0,0,2014
22,Bruce Miller,SF,1,0,0,0,1,0,0,0,DAL,0.0,1,2014
23,Bryce Brown,BUF,1,0,0,0,0,0,0,0,CHI,0.0,0,2014
24,C.J. Anderson,DEN,1,4,27,0,0,0,0,0,IND,2.7,1,2014
25,C.J. Spiller,BUF,1,15,53,0,3,3,11,1,CHI,12.4,1,2014
26,Carlos Hyde,SF,1,7,50,1,0,0,0,0,DAL,11.0,1,2014
27,Cedric Peerman,CIN,1,0,0,0,0,0,0,0,BAL,0.0,0,2014
28,Charcandrick West,KC,1,0,0,0,0,0,0,0,TEN,0.0,0,2014
29,Charles Sims,TB,1,0,0,0,0,0,0,0,CAR,0.0,0,2014
30,Chris Ivory,NYJ,1,10,102,1,0,0,0,0,OAK,16.2,1,2014
31,Chris Johnson,NYJ,1,13,68,0,5,5,23,1,OAK,15.1,1,2014
32,Chris Ogbonnaya,CAR,1,0,0,0,0,0,0,0,TB,0.0,0,2014
33,Chris Polk,PHI,1,0,0,0,0,0,0,0,JAC,0.0,0,2014
34,Chris Thompson,WAS,1,0,0,0,0,0,0,0,HOU,0.0,0,2014
35,Christine Michael,SEA,1,0,0,0,0,0,0,0,GB,0.0,0,2014
36,Cyrus Gray,KC,1,2,5,0,0,0,0,0,TEN,0.5,1,2014
37,Damien Williams,MIA,1,0,0,0,0,0,0,0,NE,0.0,0,2014
38,Dan Herron,IND,1,0,0,0,0,0,0,0,DEN,0.0,0,2014
39,Daniel Thomas,MIA,1,0,0,0,0,0,0,0,NE,0.0,0,2014
40,Danny Woodhead,SD,1,6,5,0,1,1,6,0,ARI,1.1,1,2014
41,Darrel Young,WAS,1,1,1,1,1,1,1,0,HOU,6.2,1,2014
42,Darren McFadden,OAK,1,4,15,0,1,1,6,0,NYJ,2.1,1,2014
43,Darren Sproles,PHI,1,11,71,1,6,4,14,0,JAC,14.5,1,2014
44,Darrin Reaves,CAR,1,0,0,0,0,0,0,0,TB,0.0,0,2014
45,DeAngelo Williams,CAR,1,14,72,0,1,0,0,0,TB,7.2,1,2014
46,DeMarco Murray,DAL,1,22,118,1,4,3,25,0,SF,20.3,1,2014
47,Denard Robinson,JAC,1,3,8,0,1,1,3,0,PHI,1.1,1,2014
48,Derrick Coleman,SEA,1,0,0,0,1,1,15,1,GB,7.5,1,2014
49,Devonta Freeman,ATL,1,2,15,0,2,2,18,0,NO,3.3,1,2014
50,Dexter McCluster,TEN,1,9,29,0,2,1,17,0,KC,4.6,1,2014
51,Donald Brown,SD,1,2,-2,0,0,0,0,0,ARI,-0.2,1,2014
52,Doug Martin,TB,1,9,9,0,2,1,7,0,CAR,1.6,1,2014
53,Dri Archer,PIT,1,1,4,0,1,0,0,0,CLE,0.4,1,2014
54,DuJuan Harris,GB,1,1,7,0,0,0,0,0,SEA,0.7,1,2014
55,Eddie Lacy,GB,1,12,34,0,3,3,11,0,SEA,4.5,1,2014
56,Edwin Baker,NO,1,0,0,0,0,0,0,0,ATL,0.0,0,2014
57,Erik Lorig,NO,1,0,0,0,0,0,0,0,ATL,0.0,0,2014
58,Fitzgerald Toussaint,BAL,1,0,0,0,0,0,0,0,CIN,0.0,0,2014
59,Fozzy Whittaker,CAR,1,0,0,0,0,0,0,0,TB,0.0,0,2014
60,Frank Gore,SF,1,16,63,0,0,0,0,0,DAL,6.3,1,2014
61,Frank Summers,BUF,1,0,0,0,1,1,4,0,CHI,0.4,1,2014
62,Fred Jackson,BUF,1,7,61,0,3,3,13,0,CHI,7.4,1,2014
63,George Winn,DET,1,0,0,0,0,0,0,0,NYG,0.0,0,2014
64,Giovani Bernard,CIN,1,14,48,0,10,6,62,0,BAL,11.0,1,2014
65,Henry Hynoski,NYG,1,0,0,0,0,0,0,0,DET,0.0,0,2014
66,Isaiah Crowell,CLE,1,5,32,2,0,0,0,0,PIT,15.2,1,2014
67,Jackie Battle,TEN,1,0,0,0,0,0,0,0,KC,0.0,0,2014
68,Jacquizz Rodgers,ATL,1,6,34,1,1,1,1,0,NO,9.5,1,2014
69,Jalen Parmele,ARI,1,0,0,0,0,0,0,0,SD,0.0,0,2014
70,Jamaal Charles,KC,1,7,19,0,4,4,15,0,TEN,3.4,1,2014
71,James Develin,NE,1,0,0,0,0,0,0,0,MIA,0.0,0,2014
72,James Starks,GB,1,7,37,0,3,2,11,0,SEA,4.8,1,2014
73,James White,NE,1,0,0,0,0,0,0,0,MIA,0.0,0,2014
74,Jamize Olawale,OAK,1,0,0,0,0,0,0,0,NYJ,0.0,0,2014
75,Jay Prosch,HOU,1,0,0,0,0,0,0,0,WAS,0.0,0,2014
76,Jed Collins,DET,1,0,0,0,0,0,0,0,NYG,0.0,0,2014
77,Jeremy Hill,CIN,1,4,19,0,0,0,0,0,BAL,1.9,1,2014
78,Jeremy Stewart,DEN,1,0,0,0,0,0,0,0,IND,0.0,0,2014
79,Jerick McKinnon,MIN,1,1,1,0,0,0,0,0,STL,0.1,1,2014
80,Jerome Felton,MIN,1,0,0,0,0,0,0,0,STL,0.0,0,2014
81,Joe Banyard,MIN,1,0,0,0,0,0,0,0,STL,0.0,0,2014
82,Joe McKnight,KC,1,0,0,0,0,0,0,0,TEN,0.0,0,2014
83,John Conner,NYG,1,0,0,0,0,0,0,0,DET,0.0,0,2014
84,John Kuhn,GB,1,1,2,1,0,0,0,0,SEA,6.2,1,2014
85,Joique Bell,DET,1,15,51,1,1,1,5,0,NYG,11.6,1,2014
86,Jonas Gray,NE,1,0,0,0,0,0,0,0,MIA,0.0,0,2014
87,Jonathan Dwyer,ARI,1,7,20,0,3,2,8,0,SD,2.8,1,2014
88,Jonathan Grimes,HOU,1,1,2,0,0,0,0,0,WAS,0.2,1,2014
89,Jonathan Stewart,CAR,1,9,20,0,3,3,17,0,TB,3.7,1,2014
90,Jordan Todman,JAC,1,3,6,0,2,1,5,0,PHI,1.1,1,2014
91,Jorvorskie Lane,TB,1,1,54,0,0,0,0,0,CAR,5.4,1,2014
92,Joseph Randle,DAL,1,0,0,0,0,0,0,0,SF,0.0,0,2014
93,Josh Harris,PIT,1,0,0,0,0,0,0,0,CLE,0.0,0,2014
94,Justin Forsett,BAL,1,11,70,1,6,5,14,0,CIN,14.4,1,2014
95,Juwan Thompson,DEN,1,0,0,0,0,0,0,0,IND,0.0,0,2014
96,Ka'Deem Carey,CHI,1,1,4,0,0,0,0,0,BUF,0.4,1,2014
97,Kerwynn Williams,ARI,1,0,0,0,0,0,0,0,SD,0.0,0,2014
98,Khiry Robinson,NO,1,6,28,1,1,0,0,0,ATL,8.8,1,2014
99,Knile Davis,KC,1,1,3,0,1,1,3,0,TEN,0.6,1,2014
100,Knowshon Moreno,MIA,1,24,134,1,0,0,0,0,NE,19.4,1,2014
101,Kyle Juszczyk,BAL,1,0,0,0,1,0,0,0,CIN,0.0,1,2014
102,Lamar Miller,MIA,1,11,59,0,5,4,19,1,NE,13.8,1,2014
103,LaMichael James,SF,1,2,0,0,0,0,0,0,DAL,0.0,1,2014
104,Lance Dunbar,DAL,1,0,0,0,3,3,21,0,SF,2.1,1,2014
105,Latavius Murray,OAK,1,0,0,0,0,0,0,0,NYJ,0.0,0,2014
106,Le'Veon Bell,PIT,1,21,109,1,7,6,88,0,CLE,25.7,1,2014
107,LeGarrette Blount,PIT,1,4,6,1,1,0,0,0,CLE,6.6,1,2014
108,Leon Washington,TEN,1,2,23,0,2,2,11,0,KC,3.4,1,2014
109,LeSean McCoy,PHI,1,21,74,0,6,6,41,0,JAC,11.5,1,2014
110,Lorenzo Taliaferro,BAL,1,0,0,0,1,0,0,0,CIN,0.0,1,2014
111,Marcel Reece,OAK,1,1,0,0,3,2,1,0,NYJ,0.1,1,2014
112,Marion Grice,ARI,1,0,0,0,0,0,0,0,SD,0.0,0,2014
113,Mark Ingram,NO,1,13,60,2,1,1,1,0,ATL,18.1,1,2014
114,Marshawn Lynch,SEA,1,20,110,2,1,1,14,0,GB,24.4,1,2014
115,Matt Asiata,MIN,1,2,10,0,1,1,5,0,STL,1.5,1,2014
116,Matt Forte,CHI,1,17,82,0,9,8,87,0,BUF,16.9,1,2014
117,Maurice Jones-Drew,OAK,1,9,11,0,3,2,12,0,NYJ,2.3,1,2014
118,Michael Cox,NYG,1,0,0,0,0,0,0,0,DET,0.0,0,2014
119,Mike James,TB,1,0,0,0,0,0,0,0,CAR,0.0,0,2014
120,Mike Tolbert,CAR,1,7,11,0,4,2,6,0,TB,1.7,1,2014
121,Montee Ball,DEN,1,23,67,1,2,2,16,0,IND,14.3,1,2014
122,Orleans Darkwa,MIA,1,0,0,0,0,0,0,0,NE,0.0,0,2014
123,Patrick DiMarco,ATL,1,0,0,0,0,0,0,0,NO,0.0,0,2014
124,Peyton Hillis,NYG,1,0,0,0,0,0,0,0,DET,0.0,0,2014
125,Pierre Thomas,NO,1,7,31,0,7,6,58,0,ATL,8.9,1,2014
126,Rashad Jennings,NYG,1,16,46,1,5,4,50,0,DET,15.6,1,2014
127,Ray Agnew,CLE,1,1,2,0,0,0,0,0,PIT,0.2,1,2014
128,Reggie Bush,DET,1,9,15,0,6,6,49,0,NYG,6.4,1,2014
129,Rex Burkhead,CIN,1,0,0,0,0,0,0,0,BAL,0.0,0,2014
130,Robert Hughes,ARI,1,0,0,0,1,1,7,0,SD,0.7,1,2014
131,Robert Turbin,SEA,1,6,27,0,0,0,0,0,GB,2.7,1,2014
132,Ronnie Brown,HOU,1,0,0,0,0,0,0,0,WAS,0.0,0,2014
133,Ronnie Hillman,DEN,1,0,0,0,0,0,0,0,IND,0.0,0,2014
134,Roy Helu,WAS,1,4,46,0,3,2,15,0,HOU,6.1,1,2014
135,Ryan Mathews,SD,1,12,40,1,2,2,20,0,ARI,12.0,1,2014
136,Senorise Perry,CHI,1,0,0,0,0,0,0,0,BUF,0.0,0,2014
137,Shane Vereen,NE,1,7,36,1,8,5,35,0,MIA,13.1,1,2014
138,Shaun Draughn,SD,1,0,0,0,0,0,0,0,ARI,0.0,0,2014
139,Shonn Greene,TEN,1,15,71,0,0,0,0,0,KC,7.1,1,2014
140,Silas Redd,WAS,1,0,0,0,0,0,0,0,HOU,0.0,0,2014
141,Stepfan Taylor,ARI,1,1,5,0,3,3,21,1,SD,8.6,1,2014
142,Stevan Ridley,NE,1,8,21,0,2,2,7,0,MIA,2.8,1,2014
143,Steven Jackson,ATL,1,12,52,0,3,1,0,0,NO,5.2,1,2014
144,Storm Johnson,JAC,1,0,0,0,0,0,0,0,PHI,0.0,0,2014
145,Tauren Poole,CAR,1,0,0,0,0,0,0,0,TB,0.0,0,2014
146,Terrance West,CLE,1,16,100,0,0,0,0,0,PIT,10.0,1,2014
147,Theo Riddick,DET,1,1,4,0,0,0,0,0,NYG,0.4,1,2014
148,Toby Gerhart,JAC,1,18,42,0,2,2,15,0,PHI,5.7,1,2014
149,Tommy Bohanon,NYJ,1,0,0,0,0,0,0,0,OAK,0.0,0,2014
150,Travaris Cadet,NO,1,0,0,0,1,1,5,0,ATL,0.5,1,2014
151,Tre Mason,STL,1,0,0,0,0,0,0,0,MIN,0.0,0,2014
152,Trent Richardson,IND,1,6,20,0,4,3,31,0,DEN,5.1,1,2014
153,Tyler Clutts,DAL,1,0,0,0,0,0,0,0,SF,0.0,0,2014
154,Will Johnson,PIT,1,0,0,0,1,0,0,0,CLE,0.0,1,2014
155,Will Ta'ufo'ou,JAC,1,0,0,0,0,0,0,0,PHI,0.0,0,2014
156,Will Tukuafu,SEA,1,0,0,0,0,0,0,0,GB,0.0,0,2014
157,Zac Stacy,STL,1,11,43,0,2,1,8,0,MIN,5.1,1,2014
158,Zurlon Tipton,IND,1,0,0,0,0,0,0,0,DEN,0.0,0,2014
0,Adrian Peterson,MIN,2,0,0,0,0,0,0,0,NE,0.0,0,2014
1,Ahmad Bradshaw,IND,2,13,70,0,5,5,26,2,PHI,21.6,1,2014
2,Alfonso Smith,SF,2,0,0,0,0,0,0,0,CHI,0.0,0,2014
3,Alfred Blue,HOU,2,11,40,0,0,0,0,0,OAK,4.0,1,2014
4,Alfred Morris,WAS,2,22,85,2,0,0,0,0,JAC,20.5,1,2014
5,Andre Ellington,ARI,2,15,91,0,3,1,10,0,NYG,10.1,1,2014
6,Andre Williams,NYG,2,8,12,0,4,2,7,0,ARI,1.9,1,2014
7,Anthony Dixon,BUF,2,2,3,0,0,0,0,0,MIA,0.3,1,2014
8,Anthony Sherman,KC,2,0,0,0,0,0,0,0,DEN,0.0,0,2014
9,Antone Smith,ATL,2,0,0,0,4,2,19,0,CIN,1.9,1,2014
10,Antonio Andrews,TEN,2,0,0,0,0,0,0,0,DAL,0.0,0,2014
11,Arian Foster,HOU,2,28,138,1,3,2,12,0,OAK,21.0,1,2014
12,Austin Johnson,NO,2,2,10,0,0,0,0,0,CLE,1.0,1,2014
13,Ben Tate,CLE,2,0,0,0,0,0,0,0,NO,0.0,0,2014
14,Benny Cunningham,STL,2,6,15,0,2,1,4,0,TB,1.9,1,2014
15,Bernard Pierce,BAL,2,22,96,0,2,1,7,0,PIT,10.3,1,2014
16,Bilal Powell,NYJ,2,4,16,0,2,2,32,0,GB,4.8,1,2014
17,Bishop Sankey,TEN,2,2,3,0,0,0,0,0,DAL,0.3,1,2014
18,Bobby Rainey,TB,2,22,144,0,3,3,30,0,STL,17.4,1,2014
19,Branden Oliver,SD,2,0,0,0,0,0,0,0,SEA,0.0,0,2014
20,Brandon Bolden,NE,2,4,0,0,0,0,0,0,MIN,0.0,1,2014
21,Brian Leonard,NO,2,0,0,0,0,0,0,0,CLE,0.0,0,2014
22,Bruce Miller,SF,2,1,0,0,0,0,0,0,CHI,0.0,1,2014
23,Bryce Brown,BUF,2,0,0,0,0,0,0,0,MIA,0.0,0,2014
24,C.J. Anderson,DEN,2,5,31,0,0,0,0,0,KC,3.1,1,2014
25,C.J. Spiller,BUF,2,12,69,0,1,1,9,0,MIA,7.8,1,2014
26,Carlos Hyde,SF,2,4,0,0,2,1,5,0,CHI,0.5,1,2014
27,Cedric Peerman,CIN,2,0,0,0,0,0,0,0,ATL,0.0,0,2014
28,Charcandrick West,KC,2,0,0,0,0,0,0,0,DEN,0.0,0,2014
29,Charles Sims,TB,2,0,0,0,0,0,0,0,STL,0.0,0,2014
30,Chris Ivory,NYJ,2,13,43,1,1,1,3,0,GB,10.6,1,2014
31,Chris Johnson,NYJ,2,12,21,0,3,1,0,0,GB,2.1,1,2014
32,Chris Ogbonnaya,CAR,2,0,0,0,0,0,0,0,DET,0.0,0,2014
33,Chris Polk,PHI,2,0,0,0,0,0,0,0,IND,0.0,0,2014
34,Chris Thompson,WAS,2,0,0,0,0,0,0,0,JAC,0.0,0,2014
35,Christine Michael,SEA,2,0,0,0,0,0,0,0,SD,0.0,0,2014
36,Cyrus Gray,KC,2,2,8,0,0,0,0,0,DEN,0.8,1,2014
37,Damien Williams,MIA,2,5,19,0,0,0,0,0,BUF,1.9,1,2014
38,Dan Herron,IND,2,0,0,0,0,0,0,0,PHI,0.0,0,2014
39,Daniel Thomas,MIA,2,0,0,0,0,0,0,0,BUF,0.0,0,2014
40,Danny Woodhead,SD,2,8,32,0,5,4,28,0,SEA,6.0,1,2014
41,Darrel Young,WAS,2,0,0,0,2,2,27,1,JAC,8.7,1,2014
42,Darren McFadden,OAK,2,12,37,1,3,2,31,0,HOU,12.8,1,2014
43,Darren Sproles,PHI,2,4,26,1,7,7,152,0,IND,23.8,1,2014
44,Darrin Reaves,CAR,2,0,0,0,0,0,0,0,DET,0.0,0,2014
45,DeAngelo Williams,CAR,2,0,0,0,0,0,0,0,DET,0.0,0,2014
46,DeMarco Murray,DAL,2,29,167,1,2,1,6,0,TEN,23.3,1,2014
47,Denard Robinson,JAC,2,0,0,0,2,2,14,0,WAS,1.4,1,2014
48,Derrick Coleman,SEA,2,0,0,0,0,0,0,0,SD,0.0,0,2014
49,Devonta Freeman,ATL,2,0,0,0,4,2,22,0,CIN,2.2,1,2014
50,Dexter McCluster,TEN,2,4,30,0,1,1,9,0,DAL,3.9,1,2014
51,Donald Brown,SD,2,7,21,0,4,3,10,0,SEA,3.1,1,2014
52,Doug Martin,TB,2,0,0,0,0,0,0,0,STL,0.0,0,2014
53,Dri Archer,PIT,2,0,0,0,0,0,0,0,BAL,0.0,0,2014
54,DuJuan Harris,GB,2,0,0,0,2,1,11,0,NYJ,1.1,1,2014
55,Eddie Lacy,GB,2,13,43,0,3,2,18,0,NYJ,6.1,1,2014
56,Edwin Baker,NO,2,0,0,0,0,0,0,0,CLE,0.0,0,2014
57,Erik Lorig,NO,2,0,0,0,0,0,0,0,CLE,0.0,0,2014
58,Fitzgerald Toussaint,BAL,2,0,0,0,0,0,0,0,PIT,0.0,0,2014
59,Fozzy Whittaker,CAR,2,0,0,0,0,0,0,0,DET,0.0,0,2014
60,Frank Gore,SF,2,13,63,1,2,2,12,0,CHI,13.5,1,2014
61,Frank Summers,BUF,2,2,7,0,0,0,0,0,MIA,0.7,1,2014
62,Fred Jackson,BUF,2,12,24,0,4,2,27,0,MIA,5.1,1,2014
63,George Winn,DET,2,0,0,0,0,0,0,0,CAR,0.0,0,2014
64,Giovani Bernard,CIN,2,27,90,1,6,5,79,0,ATL,22.9,1,2014
65,Henry Hynoski,NYG,2,0,0,0,0,0,0,0,ARI,0.0,0,2014
66,Isaiah Crowell,CLE,2,11,54,0,1,1,3,0,NO,5.7,1,2014
67,Jackie Battle,TEN,2,0,0,0,0,0,0,0,DAL,0.0,0,2014
68,Jacquizz Rodgers,ATL,2,5,23,0,1,0,0,0,CIN,2.3,1,2014
69,Jalen Parmele,ARI,2,0,0,0,0,0,0,0,NYG,0.0,0,2014
70,Jamaal Charles,KC,2,2,4,0,1,1,8,0,DEN,1.2,1,2014
71,James Develin,NE,2,0,0,0,2,2,17,0,MIN,1.7,1,2014
72,James Starks,GB,2,0,0,0,0,0,0,0,NYJ,0.0,0,2014
73,James White,NE,2,0,0,0,0,0,0,0,MIN,0.0,0,2014
74,Jamize Olawale,OAK,2,0,0,0,0,0,0,0,HOU,0.0,0,2014
75,Jay Prosch,HOU,2,0,0,0,0,0,0,0,OAK,0.0,0,2014
76,Jed Collins,DET,2,0,0,0,2,2,3,1,CAR,6.3,1,2014
77,Jeremy Hill,CIN,2,15,74,1,2,2,22,0,ATL,15.6,1,2014
78,Jeremy Stewart,DEN,2,0,0,0,0,0,0,0,KC,0.0,0,2014
79,Jerick McKinnon,MIN,2,2,7,0,3,2,5,0,NE,1.2,1,2014
80,Jerome Felton,MIN,2,0,0,0,0,0,0,0,NE,0.0,0,2014
81,Joe Banyard,MIN,2,0,0,0,0,0,0,0,NE,0.0,0,2014
82,Joe McKnight,KC,2,0,0,0,0,0,0,0,DEN,0.0,0,2014
83,John Conner,NYG,2,0,0,0,0,0,0,0,ARI,0.0,0,2014
84,John Kuhn,GB,2,1,3,0,1,1,5,0,NYJ,0.8,1,2014
85,Joique Bell,DET,2,10,36,0,11,6,61,0,CAR,9.7,1,2014
86,Jonas Gray,NE,2,0,0,0,0,0,0,0,MIN,0.0,0,2014
87,Jonathan Dwyer,ARI,2,9,31,1,0,0,0,0,NYG,9.1,1,2014
88,Jonathan Grimes,HOU,2,3,9,0,0,0,0,0,OAK,0.9,1,2014
89,Jonathan Stewart,CAR,2,15,37,1,1,1,22,0,DET,11.9,1,2014
90,Jordan Todman,JAC,2,0,0,0,0,0,0,0,WAS,0.0,0,2014
91,Jorvorskie Lane,TB,2,0,0,0,1,1,3,0,STL,0.3,1,2014
92,Joseph Randle,DAL,2,3,26,0,0,0,0,0,TEN,2.6,1,2014
93,Josh Harris,PIT,2,0,0,0,0,0,0,0,BAL,0.0,0,2014
94,Justin Forsett,BAL,2,8,56,0,4,4,16,0,PIT,7.2,1,2014
95,Juwan Thompson,DEN,2,0,0,0,0,0,0,0,KC,0.0,0,2014
96,Ka'Deem Carey,CHI,2,0,0,0,0,0,0,0,SF,0.0,0,2014
97,Kerwynn Williams,ARI,2,0,0,0,0,0,0,0,NYG,0.0,0,2014
98,Khiry Robinson,NO,2,8,31,0,0,0,0,0,CLE,3.1,1,2014
99,Knile Davis,KC,2,22,79,2,9,6,26,0,DEN,22.5,1,2014
100,Knowshon Moreno,MIA,2,1,4,0,0,0,0,0,BUF,0.4,1,2014
101,Kyle Juszczyk,BAL,2,0,0,0,0,0,0,0,PIT,0.0,0,2014
102,Lamar Miller,MIA,2,11,46,0,5,2,7,0,BUF,5.3,1,2014
103,LaMichael James,SF,2,0,0,0,0,0,0,0,CHI,0.0,0,2014
104,Lance Dunbar,DAL,2,11,27,0,0,0,0,0,TEN,2.7,1,2014
105,Latavius Murray,OAK,2,1,6,0,0,0,0,0,HOU,0.6,1,2014
106,Le'Veon Bell,PIT,2,11,59,0,5,5,48,0,BAL,10.7,1,2014
107,LeGarrette Blount,PIT,2,3,8,0,1,0,0,0,BAL,0.8,1,2014
108,Leon Washington,TEN,2,0,0,0,0,0,0,0,DAL,0.0,0,2014
109,LeSean McCoy,PHI,2,20,79,1,5,4,23,0,IND,16.2,1,2014
110,Lorenzo Taliaferro,BAL,2,0,0,0,0,0,0,0,PIT,0.0,0,2014
111,Marcel Reece,OAK,2,0,0,0,1,1,11,0,HOU,1.1,1,2014
112,Marion Grice,ARI,2,0,0,0,0,0,0,0,NYG,0.0,0,2014
113,Mark Ingram,NO,2,11,83,1,4,3,21,0,CLE,16.4,1,2014
114,Marshawn Lynch,SEA,2,6,36,0,4,4,27,1,SD,12.3,1,2014
115,Matt Asiata,MIN,2,13,36,0,7,5,48,1,NE,14.4,1,2014
116,Matt Forte,CHI,2,12,21,0,8,5,15,0,SF,3.6,1,2014
117,Maurice Jones-Drew,OAK,2,0,0,0,0,0,0,0,HOU,0.0,0,2014
118,Michael Cox,NYG,2,0,0,0,0,0,0,0,ARI,0.0,0,2014
119,Mike James,TB,2,6,7,0,0,0,0,0,STL,0.7,1,2014
120,Mike Tolbert,CAR,2,4,-5,0,4,3,33,0,DET,2.8,1,2014
121,Montee Ball,DEN,2,12,60,0,3,3,29,0,KC,8.9,1,2014
122,Orleans Darkwa,MIA,2,0,0,0,3,3,31,0,BUF,3.1,1,2014
123,Patrick DiMarco,ATL,2,0,0,0,0,0,0,0,CIN,0.0,0,2014
124,Peyton Hillis,NYG,2,0,0,0,0,0,0,0,ARI,0.0,0,2014
125,Pierre Thomas,NO,2,3,16,0,3,3,16,0,CLE,3.2,1,2014
126,Rashad Jennings,NYG,2,18,64,0,4,4,45,0,ARI,10.9,1,2014
127,Ray Agnew,CLE,2,0,0,0,2,0,0,0,NO,0.0,1,2014
128,Reggie Bush,DET,2,6,26,0,3,2,6,0,CAR,3.2,1,2014
129,Rex Burkhead,CIN,2,0,0,0,0,0,0,0,ATL,0.0,0,2014
130,Robert Hughes,ARI,2,1,2,0,1,0,0,0,NYG,0.2,1,2014
131,Robert Turbin,SEA,2,2,7,0,2,2,35,1,SD,10.2,1,2014
132,Ronnie Brown,HOU,2,3,2,0,0,0,0,0,OAK,0.2,1,2014
133,Ronnie Hillman,DEN,2,0,0,0,0,0,0,0,KC,0.0,0,2014
134,Roy Helu,WAS,2,8,25,0,2,2,11,0,JAC,3.6,1,2014
135,Ryan Mathews,SD,2,11,31,0,2,2,26,0,SEA,5.7,1,2014
136,Senorise Perry,CHI,2,0,0,0,0,0,0,0,SF,0.0,0,2014
137,Shane Vereen,NE,2,6,40,0,2,1,0,0,MIN,4.0,1,2014
138,Shaun Draughn,SD,2,0,0,0,0,0,0,0,SEA,0.0,0,2014
139,Shonn Greene,TEN,2,5,40,0,0,0,0,0,DAL,4.0,1,2014
140,Silas Redd,WAS,2,8,41,1,0,0,0,0,JAC,10.1,1,2014
141,Stepfan Taylor,ARI,2,0,0,0,0,0,0,0,NYG,0.0,0,2014
142,Stevan Ridley,NE,2,25,101,1,0,0,0,0,MIN,16.1,1,2014
143,Steven Jackson,ATL,2,11,46,0,1,1,7,0,CIN,5.3,1,2014
144,Storm Johnson,JAC,2,0,0,0,0,0,0,0,WAS,0.0,0,2014
145,Tauren Poole,CAR,2,0,0,0,0,0,0,0,DET,0.0,0,2014
146,Terrance West,CLE,2,19,68,1,2,2,22,0,NO,15.0,1,2014
147,Theo Riddick,DET,2,1,0,0,0,0,0,0,CAR,0.0,1,2014
148,Toby Gerhart,JAC,2,7,8,0,2,2,9,0,WAS,1.7,1,2014
149,Tommy Bohanon,NYJ,2,1,3,0,2,2,30,0,GB,3.3,1,2014
150,Travaris Cadet,NO,2,0,0,0,0,0,0,0,CLE,0.0,0,2014
151,Tre Mason,STL,2,0,0,0,0,0,0,0,TB,0.0,0,2014
152,Trent Richardson,IND,2,21,79,0,1,1,16,0,PHI,9.5,1,2014
153,Tyler Clutts,DAL,2,0,0,0,0,0,0,0,TEN,0.0,0,2014
154,Will Johnson,PIT,2,0,0,0,0,0,0,0,BAL,0.0,0,2014
155,Will Ta'ufo'ou,JAC,2,0,0,0,0,0,0,0,WAS,0.0,0,2014
156,Will Tukuafu,SEA,2,0,0,0,0,0,0,0,SD,0.0,0,2014
157,Zac Stacy,STL,2,19,71,1,0,0,0,0,TB,13.1,1,2014
158,Zurlon Tipton,IND,2,0,0,0,0,0,0,0,PHI,0.0,0,2014
0,Adrian Peterson,MIN,3,0,0,0,0,0,0,0,NO,0.0,0,2014
1,Ahmad Bradshaw,IND,3,9,65,0,3,2,18,1,JAC,14.3,1,2014
2,Alfonso Smith,SF,3,0,0,0,0,0,0,0,ARI,0.0,0,2014
3,Alfred Blue,HOU,3,13,78,0,1,1,10,0,NYG,8.8,1,2014
4,Alfred Morris,WAS,3,23,77,0,0,0,0,0,PHI,7.7,1,2014
5,Andre Ellington,ARI,3,18,62,0,4,3,13,0,SF,7.5,1,2014
